recipe,ctdt,ref,ingredients,status,instructions,prep_retrospective,taste_restrospective,prepscore,tastescore,leftovertastescore,healthscore,menudescription,menuprice,menuqty,menuimgurl,menucategory
Marinara sauce,2/29/16,http://cooking.nytimes.com/recipes/1015987-classic-marinara-sauce,"1 28-ounce can whole San Marzano tomatoes certified D.O.P. if possible;
¼ cup extra-virgin olive oil;
7 garlic cloves peeled and slivered;
 Small dried whole chile or pinch crushed red pepper flakes;
1 teaspoon kosher salt;
1 large fresh basil sprig or 1/4 teaspoon; dried oregano more to taste; two splashes of red wine",not started,"1) Pour tomatoes into a large bowl and crush with your hands. Pour 1 cup water into can and slosh it around to get tomato juices. Reserve.
2) In a large skillet (do not use a deep pot) over medium heat heat the oil. When it is hot add garlic.
3) As soon as garlic is sizzling (do not let it brown) add the tomatoes then the reserved tomato water. Add whole chile or red pepper flakes oregano (if using) and salt. Stir.
4) Place basil sprig including stem on the surface (like a flower). Let it wilt then submerge in sauce. Simmer sauce until thickened and oil on surface is a deep orange about 15 minutes. (If using oregano taste sauce after 10 minutes of simmering adding more salt and oregano as needed.) Discard basil and chile (if using).",,,,9,,,,1.11,,http://tajinny.com/media/recipes/174/171/recipe171.jpg,dinner
Sushi rice,2/29/16,http://allrecipes.com/recipe/99211/perfect-sushi-rice/,2 cups uncooked glutinous white rice (sushi rice); 3 cups water; 1/2 cup rice vinegar; 1 tablespoon vegetable oil; 1/4 cup white sugar; 1 teaspoon salt,not started,1) Rinse the rice in a strainer or colander until the water runs clear. Combine with water in a medium saucepan. Bring to a boil then reduce the heat to low cover and cook for 20 minutes. Rice should be tender and water should be absorbed. Cool until cool enough to handle. 2) In a small saucepan combine the rice vinegar oil sugar and salt. Cook over medium heat until the sugar dissolves. Cool then stir into the cooked rice. When you pour this in to the rice it will seem very wet. Keep stirring and the rice will dry as it cools.,,,,9,,,Plain sushi rice. Does not include anything else.,1.95,4 cups,http://www.timeforfamily.com/images/sushi_rice.jpg,dinner
California roll,2/29/16,http://allrecipes.com/recipe/189477/california-roll-sushi/,1/2 cup imitation crabmeat finely chopped; 1/4 cup mayonnaise; 8 sheets nori (dry seaweed); 2 1/2 tablespoons sesame seeds; 1 cucumber cut into thin spears; 2 avocados - pitted peeled and sliced the long way,not started,"1) Make sushi rice. 2) Mix the imitation crabmeat with mayonnaise in a bowl and set aside. To roll the sushi cover a bamboo rolling mat with plastic wrap. Lay a sheet of nori shiny side down on the plastic wrap. With wet fingers firmly pat a thin even layer of prepared rice over the nori leaving 1/4 inch uncovered at the bottom edge of the sheet. Sprinkle the rice with about 1/2 teaspoon of sesame seeds and gently press them into the rice. Carefully flip the nori sheet over so the seaweed side is up. 3)
Place 2 or 3 long cucumber spears 2 or 3 slices of avocado and about 1 tablespoon of imitation crab mixture in a line across the nori sheet about 1/4 from the uncovered edge. 4) Pick up the edge of the bamboo rolling sheet fold the bottom edge of the sheet up enclosing the filling and tightly roll the sushi into a cylinder about 1 1/2 inch in diameter. 5) Once the sushi is rolled wrap it in the mat and gently squeeze to compact it tightly.
Cut each roll into 1 inch pieces with a very sharp knife dipped in water.",,,,9,,,,1.32,,https://rasamalaysia.com/wp-content/uploads/2016/04/california-rolls1.jpg,dinner
Jeff's burger,3/2/16,home-made,8 oz ground beef; 1 sourdough roll; 3 oz yellow onion; 2 oz small mushrooms; 2 cloves garlic; 1 small jalapeno; 3 oz cheddar cheese; 1 dill pickle; 1 oz butter,done,warm up a fry pan with butter. slice cheese onto the top sourdough bread slice then put the bread in the toaster oven for 4 minutes. Add beef mushrooms and onion to the pan. stir well. add garlic and jalapeno. continue to stir. ensure the meat is cooked fully through. Transfer pan ingredients to the toasted roll. add one pickle on the side for taste.,medium difficulty. it's many ingredients and there's a lot to clean up afterwards.,tastes great! super yum!,,9,,,,1.84,,http://jimscherer.com/xyz/wp-content/uploads/2014/04/Avocado_Burger_0229.jpg,dinner
Waffle batter,3/5/16,http://allrecipes.com/recipe/22180/waffles-i/,2 eggs;2 cups all-purpose flour;1 3/4 cups milk;1/2 cup vegetable oil;1 tablespoon white sugar;4 teaspoons baking powder; 1/4 teaspoon salt; 1/2 teaspoon vanilla extract,not started,"Preheat waffle iron. Beat eggs in large bowl with hand beater until fluffy. Beat in flour milk vegetable oil sugar baking powder salt and vanilla just until smooth.
Spray preheated waffle iron with non-stick cooking spray. Pour mix onto hot waffle iron. Cook until golden brown. Serve hot.",,,,9,,,,1.22,,http://www.cindysrecipesandwritings.com/wp-content/uploads/2013/01/bw8a.jpg,breakfast
Basic crepes,3/5/16,http://allrecipes.com/recipe/16383/basic-crepes/?internalSource=previously%20viewed&referringContentType=home%20page,"1 cup all-purpose flour;
2 eggs; 
1/2 cup milk; 
1/2 cup water; 
1/4 teaspoon salt; 
2 tablespoons melted butter",not started,"In a large mixing bowl whisk together the flour and the eggs. Gradually add in the milk and water stirring to combine. Add the salt and butter; beat until smooth.
Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle using approximately 1/4 cup for each crepe. Tilt the pan with a circular motion so that the batter coats the surface evenly.
Cook the crepe for about 2 minutes until the bottom is light brown. Loosen with a spatula turn and cook the other side. Serve hot.",,,,9,,,,1.95,,http://journeypod.com/wp-content/uploads/2015/08/Crepes1.jpg,breakfast
Blueberry muffins,3/5/16,http://allrecipes.com/recipe/6865/to-die-for-blueberry-muffins/?internalSource=previously%20viewed&referringContentType=home%20page,1 1/2 cups all-purpose flour;3/4 cup white sugar;1/2 teaspoon salt;2 teaspoons baking powder;1/3 cup vegetable oil;1 egg;1/3 cup milk;1 cup fresh blueberries;1/2 cup white sugar;1/3 cup all-purpose flour;1/4 cup butter cubed;1 1/2 teaspoons ground cinnamon;,not started,"Preheat oven to 400 degrees F (200 degrees C). Grease muffin cups or line with muffin liners.
Combine 1 1/2 cups flour 3/4 cup sugar salt and baking powder. Place vegetable oil into a 1 cup measuring cup; add the egg and enough milk to fill the cup. Mix this with flour mixture. Fold in blueberries. Fill muffin cups right to the top and sprinkle with crumb topping mixture.
To Make Crumb Topping: Mix together 1/2 cup sugar 1/3 cup flour 1/4 cup butter and 1 1/2 teaspoons cinnamon. Mix with fork and sprinkle over muffins before baking.
Bake for 20 to 25 minutes in the preheated oven or until done.",,,,9,,,,1.23,,http://www.onceuponachef.com/images/2014/07/Best-Blueberry-Muffins2-575x370.jpg,snack
Tajin burrito,3/9/16,copied from Tacos el Tajin,1 burrito shell; 8 oz ground beef; 1/2 cup lettuce; 1/2 cup diced tomatoes; 1/2 avacado; 1/2 cup white rice; 1/2 cup yellow onions; 1/2 cup pinto beans; 1/2 cup cheddar cheese; 2 tsp hot sauce,not started,Cook the ground beef onion white rice and pinto beans  in a medium sauce pan until the meat is fully cooked. Douse the burrito shell in cold water add the cheese then microwave for 30 seconds. Combinae all ingredients to the burrito shell. Spread evenly. Add hot sauce for taste.,,,,9,,,,2.34,,http://s3-media4.fl.yelpcdn.com/bphoto/TvXDyfvT5nrUi2ud_T2QUA/348s.jpg,lunch
Beef and broccoli,3/10/16,http://allrecipes.com/recipe/20593/broccoli-beef-i/?internalSource=popular&referringContentType=home%20page,"1/4 cup all-purpose flour; 
10.5 oz can beef broth;
2 tablespoons white sugar; 
2 tablespoons soy sauce; 
1 pound boneless round steak cut into bite size pieces; 
1/4 teaspoon chopped fresh ginger root;
1 clove garlic;
4 cups chopped fresh broccoli",not started,"1. In a small bowl combine flour broth sugar and soy sauce. Stir until sugar and flour are dissolved.
In a large skillet or wok over high heat cook and stir beef 2 to 4 minutes or until browned. 2. Stir in broth mixture ginger garlic and broccoli. Bring to a boil then reduce heat. Simmer 5 to 10 minutes or until sauce thickens.",,,,9,,,Round steak and broccoli are quickly cooked in a soy-ginger sauce. Serve over hot rice or noodles.,2.01,,http://steamykitchen.com/wp-content/uploads/2012/08/chinese-beef-broccoli-recipe-.jpg,dinner
Pan-seared brocolli with garlic,3/27/16,home-made,2 cups brocolli; water; 2 cloves garlic,not started,boil hot water. add raw brocolli. wait until brocolli has softened. remove from water. add butter to a pan and turn to medium-high heat. add garlic and brocolli to hot pan. fry until dark brown.,,,,9,,,,0.39,1 bowl,https://lh6.ggpht.com/_BizpeaUzxq8/S6YUOSCKEpI/AAAAAAAABzw/PRmQLpbuhMw/s800/Roasted-Broccoli.jpg,lunch
Gai lan,3/27/16,http://steamykitchen.com/82-chinese-broccoli-gai-lan-with-oyster-sauce-recipe.html,"1 pound of Chinese broccoli (Gai Lan)
1 1/2 tablespoons cooking oil
5 whole garlic cloves peeled and gently smashed but left intact
1/4 cup vegetable stock
1 tablespoon Chinese rice wine (or dry sherry)
1/4 teaspoon sugar
1 inch of fresh ginger cut into 1/8"" coins and smashed with side of cleaver
3 tablespoons oyster sauce
1/2 teaspoon sesame oil",not started,"To wash the gai lan trim 1-inch from the ends of stalk and discard. In large wok or pan (large enough to hold all stalks) heat just 1 tablespoon of the cooking oil over medium heat. When the oil is just starting to get hot (the garlic should sizzle upon contact) add the whole garlic cloves and let them fry until golden brown on all sides. Be careful not to burn the garlic you just want to toast them - if the garlic starts turning dark brown turn the heat to low. Toasting the garlic should take about 2 minutes. While the garlic is toasting in a small bowl mix the stock wine and sugar and set aside.
To wash the gai lan trim 1-inch from the ends of stalk and discard. In large wok or pan (large enough to hold all stalks) heat just 1 tablespoon of the cooking oil over medium heat. When the oil is just starting to get hot (the garlic should sizzle upon contact) add the whole garlic cloves and let them fry until golden brown on all sides. Be careful not to burn the garlic you just want to toast them - if the garlic starts turning dark brown turn the heat to low. Toasting the garlic should take about 2 minutes. While the garlic is toasting in a small bowl mix the stock wine and sugar and set aside.",,,,9,,,,1.34,,http://steamykitchen.com/wp-content/uploads/2007/04/chinese-broccoli-with-sauce-640x960.jpg,lunch
Udon chicken and vegetable soup,3/27/16,home-made,2 cups Udon noodles; 2 tbsp soy sauce; 1 tbsp sesame oil; 1 tbsp red pepper flakes; 2 eggs; 2 cup chicken parts; 2 cups bok choy; 2 cups green leaf lettuce; 1 cup shredded carrots;,not started,bring water to a boil. add noodles chicken parts and eggs. stir until the noodles are soft. Add the vegetables to the soup. Stir frequently. Turn the heat off and cover. Add sauces to a bowl. Pour the soup into the bowl and serve.,,,,9,,,,0.98,,http://www.lafujimama.com/wp-content/uploads/2011/12/Comforting-Nabeyaki-Udon.jpg,lunch
Steak sandwich,3/27/16,home-made,1 stem green leaf lettuce; 1 steak strip; 8 inch baguette; 1 tbsp dijon mustard,not started,cook the steak. slice a baguette into a slice that matches the dimensions of the steak. wash lettuce and break into bite-size pieces. Add the steak and lettuce to the baguette. add mustard to the top slice of baguette. Serve.,,,,9,,,,1.41,,http://previews.123rf.com/images/robynmac/robynmac0804/robynmac080400076/2901400-Steak-sandwich-toasted-baguette-with-grilled-beef-and-onions-on-goat-s-cheese-and-spinach-leaves-On--Stock-Photo.jpg,lunch
Egg mcmuffin,3/28/16,http://www.food.com/recipe/mcdonalds-egg-mcmuffin-sausage-mcmuffin-with-egg-copycat-todd-501907,"1 English muffin; 1 slice Canadian bacon;1 egg; 1 slice American cheese; nonstick cooking spray
butter;",not started,"Split the English muffin and brown each face in a hot pan. Set aside. Keep the pan on medium heat.
In a frying pan of boiling water cook the Canadian bacon for 10 minutes.
Grease the inside of the can with shortening or coat with a nonstick spray. ( to make the can to make the egg shape cut both ends of a pineapple or tuna can and grease or use an option above).
Place the greased can in the hot pan over medium heat and crack the egg into the center.
Break the yolk. Lightly salt the egg.
When the surface of the egg begins to firm cut around the inside of the can with a butter knife to free the edges.
Pull the can off the egg; turn the egg over and cook for 1 minute more.
Build the sandwich in the follwing stacking order from the bottom up:.
bottom English muffin.
American cheese.
egg.
Canadian bacon.
top English muffin.
THIS IS THE KEY -Microwave for 15 to 20 seconds on high for uniform heating if desired.",,,,9,,,,0.98,,https://mcdonalds.com.au/sites/mcdonalds.com.au/files/hero_pdt_sausage_and_egg_mcmuffin.png,breakfast
Sirloin steak,3/28/16,http://www.yummly.com/recipe/Top-Sirloin-Steak-with-Butter_-Red-Pepper-Flakes-and-Lime-548971,1 top sirloin steak (about 1 Kg); 1 tsp olive oil; 1 tsp red pepper flakes; 1 lime; 1 tbsp butter; salt; pepper,done,"30 minutes before cooking the steak cover both sides with salt and pepper.
Preheat the oven to 250C 10 minutes before cooking the meat.
Place a large frying pan (one that can be placed in the oven) on the stove and pour one tablespoon olive oil into the pan. Once the oil begins to sizzle place the steak in the pan and grill both sides for 4–6 minutes.
After both sides of the meat are lightly grilled place the entire pan into the oven and let the meat cook for 7–10 minutes.
Once the meat is cooked set it aside to cool off for 10 minutes.
While the meat is cooling take the pan back to the stove. Add the red pepper flakes butter and lime (cut in half) to the pan and let the ingredients heat up over low-medium heat.
Pour this mixture over the meat and squeeze some of the lime juice on the meat as well.
Serve alone with salad or french fries.",easy. takes very little effort.,tastes great! super yum!,10,10,,7.5,a sirloin steak.,3.98,1 steak,http://www.starranchangus.com/control/content/templates/basic/uploads/3efcc027d06db6598b09af112c35eea2.jpg,dinner
Caesar salad,3/29/16,http://allrecipes.com/recipe/14172/caesar-salad-supreme/,6 cloves garlic peeled; 3/4 cup mayonnaise 5 anchovy fillets minced; 6 tablespoons grated Parmesan cheese divided; 1 teaspoon Worcestershire sauce; 1 teaspoon Dijon mustard; 1 tablespoon lemon juice; salt; ground black pepper; 1/4 cup olive oil; 4 cups day-old bread cubed; 1 head romaine lettuce torn into bite-size pieces,not started,"Mince 3 cloves of garlic and combine in a small bowl with mayonnaise anchovies 2 tablespoons of the Parmesan cheese Worcestershire sauce mustard and lemon juice. Season to taste with salt and black pepper. Refrigerate until ready to use.
Heat oil in a large skillet over medium heat. Cut the remaining 3 cloves of garlic into quarters and add to hot oil. Cook and stir until brown and then remove garlic from pan. Add bread cubes to the hot oil. Cook turning frequently until lightly browned. Remove bread cubes from oil and season with salt and pepper.
Place lettuce in a large bowl. Toss with dressing remaining Parmesan cheese and seasoned bread cubes.",,,,9,,,,1.07,,https://www.simplyrecipes.com/wp-content/uploads/2009/09/caesar-salad-horiz-800.jpg,lunch
Creamy mashed potatoes,4/9/16,home-made,6 oz ground beef; pinch salt; pinch pepper; 1 hamburger bun; 4 oz onion; 4 oz green leaf lettuce; 3 oz sliced tomato; 1 oz sliced jalapeno; 1 tbsp. yellow mustard; 1 dill pickle; 3 oz swiss cheese,done,salt and pepper the ground beef to taste. turn on the air fryer to 360 degrees. cut and wash the vegetables while the air fryer warms up. Place beef on aluminum foil and add to the air fryer when the air fryer is ready. Cook beef for 7 minutes. Add cheese to the bun and toast in the toaster oven for 3 minutes. Add vegetables to the top of the bun once the bun is finished cooking. Add mustard to the bottom bun. Take the meat out of the air fryer and add to the bun. Serve.,easy. not a very complicated burger.,tastes great! super yum!,10,10,,8,Old fashioned burger with fresh vegetables and some mustard.,1.55,1 burger,http://previews.123rf.com/images/rez_art/rez_art1209/rez_art120900028/15399798-cheeseburger-with-lettuce-tomato-and-onion--Stock-Photo.jpg,dinner
